group,domain,n,metric,higher_is_better,baseline,arm,baseline_mean,arm_mean,delta,ci_lo,ci_hi,p
unseen,site_selection,11,decisive_revealed,True,vanilla,coevolved,1.0,3.818182,2.818182,1.818182,3.545455,0.0
unseen,site_selection,11,settled,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,site_selection,11,turns_to_settle,False,vanilla,coevolved,3.090909,5.636364,2.545455,0.454545,4.272727,0.0115
unseen,site_selection,11,turns_used,False,vanilla,coevolved,3.090909,5.636364,2.545455,0.454545,4.272727,0.0115
unseen,site_selection,11,routing_precision,True,vanilla,coevolved,0.187227,1.0,0.812773,0.634209,0.948055,0.0
unseen,site_selection,11,route_invalid,False,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,site_selection,11,insight_private_leak_max,False,vanilla,coevolved,0.036545,0.026518,-0.010027,-0.027818,0.002527,0.2325
unseen,site_selection,11,insight_slot_frac,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,site_selection,11,train_reward,True,vanilla,coevolved,0.134773,0.575155,0.440382,0.296745,0.580618,0.0
unseen,site_selection,11,content_total,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,site_selection,11,prov_total,True,vanilla,coevolved,3.818182,3.818182,0.0,0.0,0.0,1.0
unseen,site_selection,11,checks_total,True,vanilla,coevolved,4.818182,4.818182,0.0,0.0,0.0,1.0
unseen,site_selection,11,decisive_total,True,vanilla,coevolved,3.818182,3.818182,0.0,0.0,0.0,1.0
unseen,site_selection,11,routing_hits,True,vanilla,coevolved,1.0,3.818182,2.818182,1.818182,3.545455,0.0
unseen,site_selection,11,routing_opportunities,True,vanilla,coevolved,2.727273,3.818182,1.090909,-0.272727,2.181818,0.108
unseen,site_selection,11,forced_routes,False,vanilla,coevolved,0.363636,1.818182,1.454545,0.545455,2.545455,0.0065
unseen,site_selection,11,route_decisions,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,site_selection,11,route_reward,True,vanilla,coevolved,0.184773,0.766064,0.581291,0.407273,0.744473,0.0
unseen,site_selection,11,wall_time,False,vanilla,coevolved,523.618182,933.718182,410.1,363.3,456.9,0.0
